The Shawshank Redemption (1994)
The Godfather (1972)
The Godfather: Part II (1974)
The Dark Knight (2008)
12 Angry Men (1957)
Schindler's List (1993)
The Lord of the Rings: The Return of the King (2003)
Pulp Fiction (1994)
Fight Club (1999)
The Lord of the Rings: The Fellowship of the Ring (2001)
Forrest Gump (1994)
Star Wars: Episode V - The Empire Strikes Back (1980)
Inception (2010)
The Lord of the Rings: The Two Towers (2002)
One Flew Over the Cuckoo's Nest (1975)
Goodfellas (1990)
The Matrix (1999)
Star Wars: Episode IV - A New Hope (1977)
Se7en (1995)
It's a Wonderful Life (1946)
The Silence of the Lambs (1991)
The Usual Suspects (1995)
Léon: The Professional (1994)
Saving Private Ryan (1998)
City Lights (1931)
Interstellar (2014)
American History X (1998)
Modern Times (1936)
Casablanca (1942)
The Green Mile (1999)
Psycho (1960)
Raiders of the Lost Ark (1981)
The Pianist (2002)
Rear Window (1954)
The Departed (2006)
Terminator 2: Judgment Day (1991)
Whiplash (2014)
Back to the Future (1985)
Gladiator (2000)
The Prestige (2006)
The Lion King (1994)
Apocalypse Now (1979)
Memento (2000)
The Great Dictator (1940)
Sunset Boulevard (1950)
Alien (1979)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Paths of Glory (1957)
Django Unchained (2012)
The Shining (1980)
Witness for the Prosecution (1957)
The Dark Knight Rises (2012)
WALL·E (2008)
American Beauty (1999)
Once Upon a Time in America (1984)
Aliens (1986)
Citizen Kane (1941)
North by Northwest (1959)
Vertigo (1958)
Star Wars: Episode VI - Return of the Jedi (1983)
Braveheart (1995)
Reservoir Dogs (1992)
Double Indemnity (1944)
Requiem for a Dream (2000)
Lawrence of Arabia (1962)
The Kid (1921)
A Clockwork Orange (1971)
To Kill a Mockingbird (1962)
Amadeus (1984)
Eternal Sunshine of the Spotless Mind (2004)
Taxi Driver (1976)
Singin' in the Rain (1952)
The Sting (1973)
Toy Story 3 (2010)
Full Metal Jacket (1987)
2001: A Space Odyssey (1968)
Toy Story (1995)
Inglourious Basterds (2009)
Snatch (2000)
All About Eve (1950)
The Apartment (1960)
Monty Python and the Holy Grail (1975)
Scarface (1983)
L.A. Confidential (1997)
Good Will Hunting (1997)
The Treasure of the Sierra Madre (1948)
Indiana Jones and the Last Crusade (1989)
Some Like It Hot (1959)
Batman Begins (2005)
Up (2009)
The Third Man (1949)
Unforgiven (1992)
Logan (2017)
Judgment at Nuremberg (1961)
Raging Bull (1980)
The Great Escape (1963)
Heat (1995)
Die Hard (1988)
La La Land (2016)
The Gold Rush (1925)
Chinatown (1974)
On the Waterfront (1954)
Mr. Smith Goes to Washington (1939)
The General (1926)
Inside Out (2015)
Room (2015)
The Bridge on the River Kwai (1957)
Blade Runner (1982)
Lock, Stock and Two Smoking Barrels (1998)
